"Genes","LundEAC","MSK2020_EAConly","TCGA_2017_only","esca_broad","is_oesophageal","is_predicted_driver","p_value","fdr_p_value","is_significant_fdr"
"KDM6A",0.0625,0.014,0.051,0.013,TRUE,TRUE,0.0373354305130459,0.0847919114663754,FALSE
"KMT2A",0.0625,0.063,0.063,0.04,FALSE,TRUE,0.778737997280984,0.811006146339588,FALSE
"MGMT",0.0625,NA,NA,NA,FALSE,TRUE,4.15797217815512e-07,1.11968250797463e-05,TRUE
"MMP17",0.0625,NA,0.013,0.007,FALSE,FALSE,0.000174983550876762,0.00157068568286998,TRUE
"MMP9",0.0625,NA,0.038,0.007,FALSE,FALSE,0.000281465179723924,0.00225771005863658,TRUE
"MTOR",0.0625,0.017,0.076,0.02,FALSE,TRUE,0.0188754598667547,0.0531048385803472,FALSE
"NOTCH2",0.0625,0.017,0.013,0.007,FALSE,TRUE,0.0474891334059557,0.0922855839899243,FALSE
"NOTCH3",0.0625,0.031,0.038,0.013,FALSE,FALSE,0.272283775313977,0.347383640474761,FALSE
"PAK3",0.0625,NA,0.013,NA,FALSE,FALSE,1.16810082937387e-05,0.000200170005760886,TRUE
"PDGFD",0.0625,NA,0.013,0.02,FALSE,FALSE,0.00143359468813413,0.00692904099264831,TRUE
"PIK3CG",0.0625,0.021,0.013,0.026,FALSE,FALSE,0.239827299121085,0.321761180671349,FALSE
"RPTOR",0.0625,0.014,0.038,NA,FALSE,FALSE,0.00997764739356517,0.0361689718016737,TRUE
"SMARCA4",0.0625,0.073,0.051,0.066,FALSE,TRUE,0.91641991112104,0.931240718308981,FALSE
"SMARCB1",0.0625,0.007,0.038,0.013,FALSE,TRUE,0.0142393189011473,0.0470896774187063,TRUE
"SOX2",0.0625,0.01,0.013,0.007,TRUE,FALSE,0.0138904901015137,0.046342608568767,TRUE
"AKT2",0.046875,0.01,0.013,NA,FALSE,TRUE,0.0352541071462236,0.0815386404547627,FALSE
"AMER1",0.046875,0.024,0.025,NA,FALSE,TRUE,0.129646643390814,0.197394026967165,FALSE
"ATAD2B",0.046875,NA,0.025,NA,FALSE,FALSE,0.000606068690513725,0.00381149388187691,TRUE
"ATM",0.046875,0.038,0.114,0.02,FALSE,FALSE,0.0099155776562976,0.0361689718016737,TRUE
"ATR",0.046875,0.035,0.038,0.02,FALSE,TRUE,0.731523284299006,0.770347145756216,FALSE
"CACNA1S",0.046875,NA,0.038,0.007,FALSE,FALSE,0.00213681890241371,0.00982415519768255,TRUE
"CDH1",0.046875,0.01,0.013,0.026,FALSE,TRUE,0.208738588682888,0.293635999751675,FALSE
"CDK8",0.046875,0.007,NA,0.007,FALSE,TRUE,0.022785262822111,0.0592416833374887,FALSE
"CIC",0.046875,0.035,0.063,0.02,FALSE,FALSE,0.394492904435547,0.452048100219457,FALSE
"CRLF2",0.046875,NA,0.013,NA,FALSE,FALSE,0.000385666133909363,0.00274332325441188,TRUE
"DSPP",0.046875,NA,0.038,0.013,FALSE,FALSE,0.00555170415302905,0.022505295330021,TRUE
"EPHB1",0.046875,0.045,0.063,0.046,FALSE,FALSE,0.927381004612452,0.934819889676189,FALSE
"FANCD2",0.046875,NA,0.051,0.02,FALSE,TRUE,0.00342281033374453,0.015361898759782,TRUE
"FANCM",0.046875,NA,0.076,0.026,FALSE,FALSE,0.000294286492066068,0.00231137515643558,TRUE
"FGF14",0.046875,NA,0.025,NA,FALSE,FALSE,0.000606068690513725,0.00381149388187691,TRUE
"FGF19",0.046875,0.01,NA,NA,FALSE,TRUE,0.0117238545288219,0.0413074126856621,TRUE
"FGFR1",0.046875,0.007,NA,0.007,FALSE,FALSE,0.022785262822111,0.0592416833374887,FALSE
"FLNA",0.046875,NA,0.025,0.013,FALSE,FALSE,0.0106281505293928,0.0378001202790667,TRUE
"FLT1",0.046875,0.031,0.038,0.007,FALSE,FALSE,0.291720032822226,0.352495039660189,FALSE
"GRIN2B",0.046875,NA,0.051,0.033,FALSE,FALSE,0.00484232739843711,0.0199786706206832,TRUE
"HNRNPU",0.046875,NA,0.013,0.007,FALSE,FALSE,0.00376840770570517,0.0159628056747286,TRUE
"IGF1R",0.046875,0.021,0.038,0.026,FALSE,FALSE,0.639120294784531,0.682573232673565,FALSE
"IGFBP5",0.046875,NA,NA,0.007,FALSE,FALSE,0.000635165865605893,0.00381149388187691,TRUE
"IRS2",0.046875,0.021,0.038,0.013,FALSE,TRUE,0.396302643258705,0.45274574699555,FALSE
"JAK2",0.046875,0.017,0.013,0.007,FALSE,FALSE,0.225190812963922,0.305384663623736,FALSE
"JPH2",0.046875,NA,0.038,0.007,FALSE,FALSE,0.00213681890241371,0.00982415519768255,TRUE
"KDM5A",0.046875,0.021,0.025,0.007,FALSE,TRUE,0.30491858945047,0.367266160456316,FALSE
"KDR",0.046875,0.017,0.013,0.013,FALSE,TRUE,0.359055822466655,0.423360156904157,FALSE
"LHX2",0.046875,NA,NA,NA,FALSE,FALSE,2.14870330940384e-05,0.000308820606601642,TRUE
"LHX4",0.046875,NA,0.013,NA,FALSE,FALSE,0.000385666133909363,0.00274332325441188,TRUE
"MAP3K1",0.046875,0.017,0.051,0.013,FALSE,TRUE,0.151703226892642,0.22695284340685,FALSE
"MDM2",0.046875,0.007,NA,0.007,FALSE,TRUE,0.022785262822111,0.0592416833374887,FALSE
"MED12",0.046875,0.021,0.063,0.013,FALSE,FALSE,0.0995568214975289,0.158366758247124,FALSE
"MYO5A",0.046875,NA,0.025,0.04,FALSE,FALSE,0.00759923945433398,0.0301569818345675,TRUE
"NKX2-1",0.046875,0.021,NA,NA,FALSE,TRUE,0.0401642642014743,0.0877528872634491,FALSE
"PCDH11X",0.046875,NA,0.114,0.086,FALSE,FALSE,1.95776949935066e-06,4.612994382845e-05,TRUE
"PRDM8",0.046875,NA,0.013,NA,FALSE,FALSE,0.000385666133909363,0.00274332325441188,TRUE
"RAD50",0.046875,0.014,0.038,0.013,FALSE,TRUE,0.219759085680293,0.299094495673178,FALSE
"SHH",0.046875,NA,NA,0.007,FALSE,FALSE,0.000635165865605893,0.00381149388187691,TRUE
"SIRT1",0.046875,NA,0.025,NA,FALSE,FALSE,0.000606068690513725,0.00381149388187691,TRUE
"SLIT2",0.046875,NA,0.076,0.046,FALSE,FALSE,0.000468609465876581,0.00321210488428129,TRUE
"SOS1",0.046875,0.016,NA,0.007,FALSE,TRUE,0.0968278646754837,0.158005924414835,FALSE
"SOX1",0.046875,NA,0.025,NA,FALSE,FALSE,0.000606068690513725,0.00381149388187691,TRUE
"TSHR",0.046875,0.007,0.013,0.007,FALSE,FALSE,0.0612730220338987,0.113234947582254,FALSE
"UBR4",0.046875,NA,0.089,0.04,FALSE,FALSE,0.000111189332187768,0.00115165678949889,TRUE
"UCP3",0.046875,NA,0.013,NA,FALSE,FALSE,0.000385666133909363,0.00274332325441188,TRUE
"ABL1",0.03125,0.014,0.013,0.007,FALSE,FALSE,0.587337930012372,0.636282757513403,FALSE
"ACTN4",0.03125,NA,0.038,0.013,FALSE,FALSE,0.0187021628035621,0.0531048385803472,FALSE
"ADAMTS6",0.03125,NA,0.013,0.026,FALSE,FALSE,0.0463248120996948,0.0904893998009583,FALSE
"ADGRA2",0.03125,NA,0.025,0.013,FALSE,FALSE,0.0560494958813703,0.104607227461765,FALSE
"AOX1",0.03125,NA,0.013,0.007,FALSE,FALSE,0.0504700516384344,0.0956141179280892,FALSE
"BAGE2",0.03125,NA,NA,NA,FALSE,FALSE,0.00104118913321937,0.00530443653005002,TRUE
"BAP1",0.03125,0.003,NA,0.02,FALSE,TRUE,0.0869624252724823,0.149702439852629,FALSE
"BBC3",0.03125,0.003,0.013,0.007,FALSE,FALSE,0.159455359715375,0.236988718388249,FALSE
"BLM",0.03125,0.01,NA,0.013,FALSE,FALSE,0.37243038373708,0.433352637866912,FALSE
"BMP4",0.03125,NA,NA,NA,FALSE,FALSE,0.00104118913321937,0.00530443653005002,TRUE
"BMPR2",0.03125,NA,0.025,0.007,FALSE,TRUE,0.0321869626098634,0.0751021612407144,FALSE
"BTK",0.03125,0.007,0.013,NA,FALSE,TRUE,0.145875927936432,0.21910448140253,FALSE
"C2CD3",0.03125,NA,0.038,0.007,FALSE,FALSE,0.00858745529873793,0.0330354147716755,TRUE
"CD79A",0.03125,0.008,0.025,NA,FALSE,FALSE,0.118842216893117,0.184376608101668,FALSE
"CDK12",0.03125,0.01,0.038,0.026,FALSE,TRUE,0.334144597593676,0.398647193964607,FALSE
"CDKN1B",0.03125,0.003,NA,0.02,FALSE,TRUE,0.0869624252724823,0.149702439852629,FALSE
"CHD7",0.03125,NA,0.051,0.013,FALSE,FALSE,0.00368171795103015,0.0159628056747286,TRUE
"CSF1R",0.03125,0.01,0.063,0.007,FALSE,FALSE,0.0104236088262875,0.0374257193096226,TRUE
"CTNNB1",0.03125,0.028,0.089,0.02,FALSE,TRUE,0.0391153363593993,0.0877528872634491,FALSE
"CYP21A2",0.03125,NA,0.013,0.013,FALSE,FALSE,0.0767869950713675,0.133404134294496,FALSE
"DICER1",0.03125,0.007,0.038,0.007,FALSE,TRUE,0.0991122284814491,0.158327585328417,FALSE
"DOT1L",0.03125,0.01,0.038,0.007,FALSE,FALSE,0.173172229403485,0.245435828891405,FALSE
"DPCR1",0.03125,NA,NA,NA,FALSE,FALSE,0.00104118913321937,0.00530443653005002,TRUE
"EGF",0.03125,NA,0.025,0.007,FALSE,FALSE,0.0321869626098634,0.0751021612407144,FALSE
"EGFR",0.03125,0.014,0.038,0.02,FALSE,TRUE,0.541624961074985,0.595313732726733,FALSE
"EPHA3",0.03125,0.014,0.063,0.053,FALSE,TRUE,0.0596626524997028,0.110802068928019,FALSE
"EPHB2",0.03125,NA,0.051,0.013,FALSE,FALSE,0.00368171795103015,0.0159628056747286,TRUE
"ESR1",0.03125,0.017,0.038,0.007,FALSE,FALSE,0.347436509165388,0.411897999859595,FALSE
"FANCL",0.03125,NA,NA,0.007,FALSE,FALSE,0.0164888383769535,0.0481883106055152,TRUE
"FBXO4",0.03125,NA,0.013,NA,FALSE,FALSE,0.00902328716052735,0.033350777054106,TRUE
"FGF10",0.03125,NA,NA,0.013,FALSE,FALSE,0.0295543244443015,0.0720027649734088,FALSE
"FGF23",0.03125,NA,NA,0.007,FALSE,FALSE,0.0164888383769535,0.0481883106055152,TRUE
"FGFR4",0.03125,0.003,0.025,NA,FALSE,TRUE,0.0296032588086959,0.0720027649734088,FALSE
"FLT4",0.03125,0.014,0.025,0.033,FALSE,FALSE,0.582018141610445,0.632336712931233,FALSE
"FOXA1",0.03125,0.01,0.013,NA,FALSE,FALSE,0.216894267511755,0.296264995840332,FALSE
"FOXD2",0.03125,NA,NA,NA,FALSE,FALSE,0.00104118913321937,0.00530443653005002,TRUE
"GATA2",0.03125,0.01,0.025,0.007,FALSE,TRUE,0.389069148734243,0.448649053933817,FALSE
"GNA13",0.03125,NA,0.038,NA,FALSE,FALSE,0.0013648332048301,0.00668236517170062,TRUE
"IDH1",0.03125,NA,NA,0.007,FALSE,FALSE,0.0164888383769535,0.0481883106055152,TRUE
"IL7R",0.03125,0.017,0.013,0.04,FALSE,FALSE,0.423750722890063,0.476877679192697,FALSE
"INHBA",0.03125,0.02,0.063,0.013,FALSE,FALSE,0.116439013365375,0.181394661317134,FALSE
"KCNA1",0.03125,NA,0.025,0.026,FALSE,FALSE,0.047853056524197,0.0923787717164554,FALSE
"KEAP1",0.03125,0.007,0.025,0.007,FALSE,TRUE,0.260919106818488,0.347383640474761,FALSE
"KIT",0.03125,0.007,0.038,0.013,FALSE,TRUE,0.165326347310635,0.236988718388249,FALSE
"KRAS",0.03125,0.042,0.038,0.033,FALSE,TRUE,0.958383383426665,0.963494761471608,FALSE
"LATS2",0.03125,0.01,0.038,0.013,FALSE,FALSE,0.27709689987928,0.347383640474761,FALSE
"LTBP4",0.03125,NA,0.025,0.033,FALSE,FALSE,0.0283421471517932,0.0698365325243532,FALSE
"MAP2K2",0.03125,0.014,0.013,NA,FALSE,TRUE,0.272747584209402,0.347383640474761,FALSE
"MAP2K4",0.03125,0.007,0.038,0.013,FALSE,FALSE,0.165326347310635,0.236988718388249,FALSE
